

*******************************************************************************
Ephemeris / WWW_USER Wed Apr 24 00:30:52 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Juno (spacecraft) (-61)         {source: juno_merged_DE436}
Center body name: Jupiter (599)                   {source: juno_merged_DE436}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2016-Aug-01 00:00:00.0000 TDB
Stop  time      : A.D. 2016-Sep-23 00:00:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {W-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {W-lon(deg),Dxy(km),Dz(km)}
Center radii    : 71492.0, 71492.0, 66854.0 km    {Equator_a, b, pole_c}
Keplerian GM    : 1.2668653190037040E+08 km^3/s^2
Output units    : KM-S, deg, Julian Day Number (Tp)
Calendar mode   : Gregorian
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
2457601.833333333, A.D. 2016-Aug-01 08:00:00.0000,  9.816040014520552E-01,  7.523477200970281E+04,  9.073158938246503E+01,  2.692427046684975E+02,  1.746795710851654E+02,  2.457628045021143E+06,  7.797313432942511E-05,  1.834150359240574E+02,  1.801660720484716E+02,  4.089735700599327E+06,  8.104236629188951E+06,  4.616974847760417E+06,
2457601.875000000, A.D. 2016-Aug-01 09:00:00.0000,  9.816042036243342E-01,  7.523396174412557E+04,  9.072838567117763E+01,  2.692429933246223E+02,  1.746794611878734E+02,  2.457628044680251E+06,  7.797310857631389E-05,  1.836980939866973E+02,  1.801798406909319E+02,  4.089736601109896E+06,  8.104239240475666E+06,  4.616976372663924E+06,
2457601.916666667, A.D. 2016-Aug-01 10:00:00.0000,  9.816044305496818E-01,  7.523305401197511E+04,  9.072660770856736E+01,  2.692431531058834E+02,  1.746793376440462E+02,  2.457628044304097E+06,  7.797307696638468E-05,  1.839814026338365E+02,  1.801936223435323E+02,  4.089737706416845E+06,  8.104242358821714E+06,  4.616978244365054E+06,
2457601.958333333, A.D. 2016-Aug-01 11:00:00.0000,  9.816046730357018E-01,  7.523208601696898E+04,  9.072636627789774E+01,  2.692431747719937E+02,  1.746792050162701E+02,  2.457628043906821E+06,  7.797304010684500E-05,  1.842648651874387E+02,  1.802074124150686E+02,  4.089738995288291E+06,  8.104245904559612E+06,  4.616980426910361E+06,
2457602.000000000, A.D. 2016-Aug-01 12:00:00.0000,  9.816049215433122E-01,  7.523109608557835E+04,  9.072771028825123E+01,  2.692430546895961E+02,  1.746790681823820E+02,  2.457628043503218E+06,  7.797299906374576E-05,  1.845483795011326E+02,  1.802212060633383E+02,  4.089740430447904E+06,  8.104249764810230E+06,  4.616982857177097E+06,
2457602.041666667, A.D. 2016-Aug-01 13:00:00.0000,  9.816051663067352E-01,  7.523012320385108E+04,  9.073064659663740E+01,  2.692427930084203E+02,  1.746789321321244E+02,  2.457628043108216E+06,  7.797295531922525E-05,  1.848318416479446E+02,  1.802349983740967E+02,  4.089741960069866E+06,  8.104253796935881E+06,  4.616985447404701E+06,
2457602.083333333, A.D. 2016-Aug-01 14:00:00.0000,  9.816053975777185E-01,  7.522920604115882E+04,  9.073513967750866E+01,  2.692423936502758E+02,  1.746788018411858E+02,  2.457628042736491E+06,  7.797291073650466E-05,  1.851151485464865E+02,  1.802487844872676E+02,  4.089743519002783E+06,  8.104257831964406E+06,  4.616988087267319E+06,
2457602.125000000, A.D. 2016-Aug-01 15:00:00.0000,  9.816056058782046E-01,  7.522838194988140E+04,  9.074111241589134E+01,  2.692418641980742E+02,  1.746786821467364E+02,  2.457628042402099E+06,  7.797286750851970E-05,  1.853982005716071E+02,  1.802625597218220E+02,  4.089745030565806E+06,  8.104261679181730E+06,  4.616990646915283E+06,
2457602.166666667, A.D. 2016-Aug-01 16:00:00.0000,  9.816057822523911E-01,  7.522768597693299E+04,  9.074844805372990E+01,  2.692412156838765E+02,  1.746785776285343E+02,  2.457628042118132E+06,  7.797282809203528E-05,  1.856809040605047E+02,  1.802763196950556E+02,  4.089746408852419E+06,  8.104265131727905E+06,  4.616992980876284E+06,
2457602.208333333, A.D. 2016-Aug-01 17:00:00.0000,  9.816059185083914E-01,  7.522714992550458E+04,  9.075699323372572E+01,  2.692404622825335E+02,  1.746784924992810E+02,  2.457628041896394E+06,  7.797279512973585E-05,  1.859631736315781E+02,  1.802900604323401E+02,  4.089747561454734E+06,  8.104267972983963E+06,  4.616994932668635E+06,
2457602.250000000, A.D. 2016-Aug-01 18:00:00.0000,  9.816060074398530E-01,  7.522680150460979E+04,  9.076656201460506E+01,  2.692396209235749E+02,  1.746784305072609E+02,  2.457628041747127E+06,  7.797277136324685E-05,  1.862449342453350E+02,  1.803037784640321E+02,  4.089748392504972E+06,  8.104269983505335E+06,  4.616996339951681E+06,
2457602.291666667, A.D. 2016-Aug-01 19:00:00.0000,  9.816060430187551E-01,  7.522666360022387E+04,  9.077694068290660E+01,  2.692387108380731E+02,  1.746783948535000E+02,  2.457628041678783E+06,  7.797275954030022E-05,  1.865261229523898E+02,  1.803174709070083E+02,  4.089748805921796E+06,  8.104270948243367E+06,  4.616997040023113E+06,
2457602.333333333, A.D. 2016-Aug-01 20:00:00.0000,  9.816060205521605E-01,  7.522675369552072E+04,  9.078789316030819E+01,  2.692377530591942E+02,  1.746783881248461E+02,  2.457628041697845E+06,  7.797276231931534E-05,  1.868066902912167E+02,  1.803311355291603E+02,  4.089748708747060E+06,  8.104270663798600E+06,  4.616996875469437E+06,
2457602.375000000, A.D. 2016-Aug-01 21:00:00.0000,  9.816059367976516E-01,  7.522708345970247E+04,  9.079916680036909E+01,  2.692367698952576E+02,  1.746784122435693E+02,  2.457628041808711E+06,  7.797278217455453E-05,  1.870866013158063E+02,  1.803447707960355E+02,  4.089748014462550E+06,  8.104268945465398E+06,  4.616995699782553E+06,
2457602.416666667, A.D. 2016-Aug-01 22:00:00.0000,  9.816057900344036E-01,  7.522765851602200E+04,  9.081049838007702E+01,  2.692357843927801E+02,  1.746784684333944E+02,  2.457628042013621E+06,  7.797282130475728E-05,  1.873658362495538E+02,  1.803583758995813E+02,  4.089746646185077E+06,  8.104265633854131E+06,  4.616993382770358E+06,
2457602.458333333, A.D. 2016-Aug-01 23:00:00.0000,  9.816055800890892E-01,  7.522847839068157E+04,  9.082162011474097E+01,  2.692348198046511E+02,  1.746785572013314E+02,  2.457628042312643E+06,  7.797288154781643E-05,  1.876443907752881E+02,  1.803719507695949E+02,  4.089744539650293E+06,  8.104260600909904E+06,  4.616989815609572E+06,
2457602.500000000, A.D. 2016-Aug-02 00:00:00.0000,  9.816053083178675E-01,  7.522953663607535E+04,  9.083226555424415E+01,  2.692338990757438E+02,  1.746786783343021E+02,  2.457628042703706E+06,  7.797296430367121E-05,  1.879222759817513E+02,  1.803854960689601E+02,  4.089741645909125E+06,  8.104253755182176E+06,  4.616984915411893E+06,
2457602.541666667, A.D. 2016-Aug-02 01:00:00.0000,  9.816049775474703E-01,  7.523082111490292E+04,  9.084217524961475E+01,  2.692330443553744E+02,  1.746788309093540E+02,  2.457628043182674E+06,  7.797307046720262E-05,  1.881995179938027E+02,  1.803990131740640E+02,  4.089737933674362E+06,  8.104245046233820E+06,  4.616978629197690E+06,
2457602.583333333, A.D. 2016-Aug-02 02:00:00.0000,  9.816045919797648E-01,  7.523231442633910E+04,  9.085110210738753E+01,  2.692322765433757E+02,  1.746790133162133E+02,  2.457628043743464E+06,  7.797320037256525E-05,  1.884761573171479E+02,  1.804125041419299E+02,  4.089733391267190E+06,  8.104234468108040E+06,  4.616970937192228E+06,
2457602.625000000, A.D. 2016-Aug-02 03:00:00.0000,  9.816041570650996E-01,  7.523399445182501E+04,  9.085881637240549E+01,  2.692316148744386E+02,  1.746792232910055E+02,  2.457628044378187E+06,  7.797335375009595E-05,  1.887522479290862E+02,  1.804259716656063E+02,  4.089728028123806E+06,  8.104222061795788E+06,  4.616961855376869E+06,
2457602.666666667, A.D. 2016-Aug-02 04:00:00.0000,  9.816036793502478E-01,  7.523583499607514E+04,  9.086511019604224E+01,  2.692310765438742E+02,  1.746794579601450E+02,  2.457628045077331E+06,  7.797352969671667E-05,  1.890278561451179E+02,  1.804394190192508E+02,  4.089721875829990E+06,  8.104207916663906E+06,  4.616951437240874E+06,
2457602.708333333, A.D. 2016-Aug-02 05:00:00.0000,  9.816031663069339E-01,  7.523780649836177E+04,  9.086980175587362E+01,  2.692306763771163E+02,  1.746797138936060E+02,  2.457628045829957E+06,  7.797372666059429E-05,  1.893030592882262E+02,  1.804528499941757E+02,  4.089714988656984E+06,  8.104192170815607E+06,  4.616939774688668E+06,
2457602.750000000, A.D. 2016-Aug-02 06:00:00.0000,  9.816026261467807E-01,  7.523987678975755E+04,  9.087273889531282E+01,  2.692304265450101E+02,  1.746799871669970E+02,  2.457628046623925E+06,  7.797394244071249E-05,  1.895779441840896E+02,  1.804662688269354E+02,  4.089707443575785E+06,  8.104175010361812E+06,  4.616926998063823E+06,
2457602.791666667, A.D. 2016-Aug-02 07:00:00.0000,  9.816020676281697E-01,  7.524201187346988E+04,  9.087380224919966E+01,  2.692303363270989E+02,  1.746802734320236E+02,  2.457628047446129E+06,  7.797417420192743E-05,  1.898526055023125E+02,  1.804796801203675E+02,  4.089699339729907E+06,  8.104156667586343E+06,  4.616913275255966E+06,
2457602.833333333, A.D. 2016-Aug-02 08:00:00.0000,  9.816014998600496E-01,  7.524417670740093E+04,  9.087290781595979E+01,  2.692304119255172E+02,  1.746805679949910E+02,  2.457628048282757E+06,  7.797441850597926E-05,  1.901271439617481E+02,  1.804930887583923E+02,  4.089690797350150E+06,  8.104137417992899E+06,  4.616898809862806E+06,
2457602.875000000, A.D. 2016-Aug-02 09:00:00.0000,  9.816009321208023E-01,  7.524633593129442E+04,  9.087001893728856E+01,  2.692306554899009E+02,  1.746808658625168E+02,  2.457628049119476E+06,  7.797467133285959E-05,  1.904016649878351E+02,  1.805064998430056E+02,  4.089681957006596E+06,  8.104117578081898E+06,  4.616883839923170E+06,
2457602.916666667, A.D. 2016-Aug-02 10:00:00.0000,  9.816003736149707E-01,  7.524845475361071E+04,  9.086510759933915E+01,  2.692310684122799E+02,  1.746811619972709E+02,  2.457628049942022E+06,  7.797492824886910E-05,  1.906762744070604E+02,  1.805199184877804E+02,  4.089672973731510E+06,  8.104097492709409E+06,  4.616868627964672E+06,
2457602.958333333, A.D. 2016-Aug-02 11:00:00.0000,  9.815998333725848E-01,  7.525049941338034E+04,  9.085821509992621E+01,  2.692316462558085E+02,  1.746814511725398E+02,  2.457628050736014E+06,  7.797518432875994E-05,  1.909510798227420E+02,  1.805333498870304E+02,  4.089664019741075E+06,  8.104077540068770E+06,  4.616853465612387E+06,
2457603.000000000, A.D. 2016-Aug-02 12:00:00.0000,  9.815993200271118E-01,  7.525243795904610E+04,  9.084941191348032E+01,  2.692323821724058E+02,  1.746817282404859E+02,  2.457628051487552E+06,  7.797543435665775E-05,  1.912261861610617E+02,  1.805467991022623E+02,  4.089655277409574E+06,  8.104058116860103E+06,  4.616838661691434E+06,
2457603.041666667, A.D. 2016-Aug-02 13:00:00.0000,  9.815988416735497E-01,  7.525424077557727E+04,  9.083880681705133E+01,  2.692332661714227E+02,  1.746819881984047E+02,  2.457628052183420E+06,  7.797567290874631E-05,  1.915016941127539E+02,  1.805602709890629E+02,  4.089646936378165E+06,  8.104039631980752E+06,  4.616824537331050E+06,
2457603.083333333, A.D. 2016-Aug-02 14:00:00.0000,  9.815984057292148E-01,  7.525588107554367E+04,  9.082654522542964E+01,  2.692342852951467E+02,  1.746822262969469E+02,  2.457628052811364E+06,  7.797589447474152E-05,  1.917776980236191E+02,  1.805737700971725E+02,  4.089639189307708E+06,  8.104022497539873E+06,  4.616811418772678E+06,
2457603.125000000, A.D. 2016-Aug-02 15:00:00.0000,  9.815980188118562E-01,  7.525733531313077E+04,  9.081280674962679E+01,  2.692354238567118E+02,  1.746824381464244E+02,  2.457628053360341E+06,  7.797609358896896E-05,  1.920542838661833E+02,  1.805873005743675E+02,  4.089632227296176E+06,  8.104007119279221E+06,  4.616799629610172E+06,
2457603.166666667, A.D. 2016-Aug-02 16:00:00.0000,  9.815976866360071E-01,  7.525858351940263E+04,  9.079780201017635E+01,  2.692366637366671E+02,  1.746826198181717E+02,  2.457628053820767E+06,  7.797626496785700E-05,  1.923315273444290E+02,  1.806008660766348E+02,  4.089626235072084E+06,  8.103993886624765E+06,  4.616789482650874E+06,
2457603.208333333, A.D. 2016-Aug-02 17:00:00.0000,  9.815974139279028E-01,  7.525960955983731E+04,  9.078176875920454E+01,  2.692379847326623E+02,  1.746827679378522E+02,  2.457628054184720E+06,  7.797640365019877E-05,  1.926094921834207E+02,  1.806144696871286E+02,  4.089621386091411E+06,  8.103983162622984E+06,  4.616781271613343E+06,
2457603.250000000, A.D. 2016-Aug-02 18:00:00.0000,  9.815972043585858E-01,  7.526040131818250E+04,  9.076496738328277E+01,  2.692393649553136E+02,  1.746828797677742E+02,  2.457628054446119E+06,  7.797650513631448E-05,  1.928882286508563E+02,  1.806281138461831E+02,  4.089617837673175E+06,  8.103975274028167E+06,  4.616775262890619E+06,
2457603.291666667, A.D. 2016-Aug-02 19:00:00.0000,  9.815970604940000E-01,  7.526095081399567E+04,  9.074767586967621E+01,  2.692407812625674E+02,  1.746829532757484E+02,  2.457628054600861E+06,  7.797656552232595E-05,  1.931677723481662E+02,  1.806418002942151E+02,  4.089615726305997E+06,  8.103970501797999E+06,  4.616771687603068E+06,
2457603.333333333, A.D. 2016-Aug-02 20:00:00.0000,  9.815969837599698E-01,  7.526125426464622E+04,  9.073018431988915E+01,  2.692422097249211E+02,  1.746829871887494E+02,  2.457628054646919E+06,  7.797658162616616E-05,  1.934481432948505E+02,  1.806555300286943E+02,  4.089615163243609E+06,  8.103969072222572E+06,  4.616770734140477E+06,
2457603.375000000, A.D. 2016-Aug-02 21:00:00.0000,  9.815969744191307E-01,  7.526131210552242E+04,  9.071278908666345E+01,  2.692436261146328E+02,  1.746829810305303E+02,  2.457628054584394E+06,  7.797655110263106E-05,  1.937293453135006E+02,  1.806693032755856E+02,  4.089616230483286E+06,  8.103971148861050E+06,  4.616772541352537E+06,
2457603.416666667, A.D. 2016-Aug-02 22:00:00.0000,  9.815970315564173E-01,  7.526112898358243E+04,  9.069578659760403E+01,  2.692450064132427E+02,  1.746829351432053E+02,  2.457628054415542E+06,  7.797647254555406E-05,  1.940113657080552E+02,  1.806831194749597E+02,  4.089618977194208E+06,  8.103976825404833E+06,  4.616777192501072E+06,
2457603.458333333, A.D. 2016-Aug-02 23:00:00.0000,  9.815971530701436E-01,  7.526071373728021E+04,  9.067946691931019E+01,  2.692463273325885E+02,  1.746828506933418E+02,  2.457628054144747E+06,  7.797634557567979E-05,  1.942941752202654E+02,  1.806969772800954E+02,  4.089623416645365E+06,  8.103986119553450E+06,  4.616784710058035E+06,
2457603.500000000, A.D. 2016-Aug-03 00:00:00.0000,  9.815973356678971E-01,  7.526007936726179E+04,  9.066410712610488E+01,  2.692475668437721E+02,  1.746827296628377E+02,  2.457628053778471E+06,  7.797617091239219E-05,  1.945777282587388E+02,  1.807108745698244E+02,  4.089629523697438E+06,  8.103998968027615E+06,  4.616795051458314E+06,
2457603.541666667, A.D. 2016-Aug-03 01:00:00.0000,  9.815975748716168E-01,  7.525924298260252E+04,  9.064996459239852E+01,  2.692487047042234E+02,  1.746825748231675E+02,  2.457628053325162E+06,  7.797595042514052E-05,  1.948619634336465E+02,  1.807248084756652E+02,  4.089637233003912E+06,  8.104015223025220E+06,  4.616808106053312E+06,
2457603.583333333, A.D. 2016-Aug-03 02:00:00.0000,  9.815978650460930E-01,  7.525822567071160E+04,  9.063727046426268E+01,  2.692497229622599E+02,  1.746823896875967E+02,  2.457628052795104E+06,  7.797568715474604E-05,  1.951468045165226E+02,  1.807387754293171E+02,  4.089646438264688E+06,  8.104034650858665E+06,  4.616823693846581E+06,
2457603.625000000, A.D. 2016-Aug-03 03:00:00.0000,  9.815981994819039E-01,  7.525705217743418E+04,  9.062622383569740E+01,  2.692506063973952E+02,  1.746821784285540E+02,  2.457628052200188E+06,  7.797538528373531E-05,  1.954321621013694E+02,  1.807527712433984E+02,  4.089656993261438E+06,  8.104056934345443E+06,  4.616841567246370E+06,
2457603.666666667, A.D. 2016-Aug-03 04:00:00.0000,  9.815985705904099E-01,  7.525575018747208E+04,  9.061698762820798E+01,  2.692513428178196E+02,  1.746819457350657E+02,  2.457628051553519E+06,  7.797505001564298E-05,  1.957179365005070E+02,  1.807667912503144E+02,  4.089668716075471E+06,  8.104081681963469E+06,  4.616861418207215E+06,
2457603.708333333, A.D. 2016-Aug-03 05:00:00.0000,  9.815989703083056E-01,  7.525434885211248E+04,  9.060968794043960E+01,  2.692519230771222E+02,  1.746816965661276E+02,  2.457628050868762E+06,  7.797468729216655E-05,  1.960040228040012E+02,  1.807808305425835E+02,  4.089681398975145E+06,  8.104108449098177E+06,  4.616882894972073E+06,
2457603.750000000, A.D. 2016-Aug-03 06:00:00.0000,  9.815993908665637E-01,  7.525287600744727E+04,  9.060441981548770E+01,  2.692523405817514E+02,  1.746814357278018E+02,  2.457628050159014E+06,  7.797430322930931E-05,  1.962903196115013E+02,  1.807948843850028E+02,  4.089694828129527E+06,  8.104136780251607E+06,  4.616905635454036E+06,
2457603.791666667, A.D. 2016-Aug-03 07:00:00.0000,  9.815998213898323E-01,  7.525137051432514E+04,  9.060121853791978E+01,  2.692525935257054E+02,  1.746811695634925E+02,  2.457628049441332E+06,  7.797390655387911E-05,  1.965766934878622E+02,  1.808089465440562E+02,  4.089708698411280E+06,  8.104166026308235E+06,  4.616929122965566E+06,
2457603.833333333, A.D. 2016-Aug-03 08:00:00.0000,  9.816002532946666E-01,  7.524986285752043E+04,  9.060003969145396E+01,  2.692526864107724E+02,  1.746809030789107E+02,  2.457628048728944E+06,  7.797350444414772E-05,  1.968630401751233E+02,  1.808230121762568E+02,  4.089722758830601E+06,  8.104195654803682E+06,  4.616952932490899E+06,
2457603.875000000, A.D. 2016-Aug-03 09:00:00.0000,  9.816006769618663E-01,  7.524838688479982E+04,  9.060086287667103E+01,  2.692526218172447E+02,  1.746806418531103E+02,  2.457628048036595E+06,  7.797310543644340E-05,  1.971492424309704E+02,  1.808370758300717E+02,  4.089736710901968E+06,  8.104225034919135E+06,  4.616976558583259E+06,
2457603.916666667, A.D. 2016-Aug-03 10:00:00.0000,  9.816010838130398E-01,  7.524697237429141E+04,  9.060364036856834E+01,  2.692524044464240E+02,  1.746803909764201E+02,  2.457628047377587E+06,  7.797271777773787E-05,  1.974351934913053E+02,  1.808511325514378E+02,  4.089750266247741E+06,  8.104253560121192E+06,  4.616999512908914E+06,
2457603.958333333, A.D. 2016-Aug-03 11:00:00.0000,  9.816014637971351E-01,  7.524565493667494E+04,  9.060815185139516E+01,  2.692520524440005E+02,  1.746801556044460E+02,  2.457628046765073E+06,  7.797235001190274E-05,  1.977207870935623E+02,  1.808651774520028E+02,  4.089763126099040E+06,  8.104280597261405E+06,  4.617021289534621E+06,
2457604.000000000, A.D. 2016-Aug-03 12:00:00.0000,  9.816018095666024E-01,  7.524445966994185E+04,  9.061426559785647E+01,  2.692515768934258E+02,  1.746799400004195E+02,  2.457628046209861E+06,  7.797200983832231E-05,  1.980059346548319E+02,  1.808792064549344E+02,  4.089775021208212E+06,  8.104305582746482E+06,  4.617041432514982E+06,
2457604.041666667, A.D. 2016-Aug-03 13:00:00.0000,  9.816021139715150E-01,  7.524341107916582E+04,  9.062177854282120E+01,  2.692509943183545E+02,  1.746797480660763E+02,  2.457628045721620E+06,  7.797170462235859E-05,  1.982905560657379E+02,  1.808932158999917E+02,  4.089785694001342E+06,  8.104327976923518E+06,  4.617059505670588E+06,
2457604.083333333, A.D. 2016-Aug-03 14:00:00.0000,  9.816023708905025E-01,  7.524252989552039E+04,  9.063046268378103E+01,  2.692503230227825E+02,  1.746795831274799E+02,  2.457628045308378E+06,  7.797144105723337E-05,  1.985745837816775E+02,  1.809072027241801E+02,  4.089794910403798E+06,  8.104347290912075E+06,  4.617075112613980E+06,
2457604.125000000, A.D. 2016-Aug-03 15:00:00.0000,  9.816025753766653E-01,  7.524183258782742E+04,  9.064006958295886E+01,  2.692495827199027E+02,  1.746794478769507E+02,  2.457628044976375E+06,  7.797122499531357E-05,  1.988579641117166E+02,  1.809211645204691E+02,  4.089802465742595E+06,  8.104363098897362E+06,  4.617087906745568E+06,
2457604.166666667, A.D. 2016-Aug-03 16:00:00.0000,  9.816027237765356E-01,  7.524133097553854E+04,  9.065033527782305E+01,  2.692487941350300E+02,  1.746793443269331E+02,  2.457628044729966E+06,  7.797106129310021E-05,  1.991406582336309E+02,  1.809350995835944E+02,  4.089808190169670E+06,  8.104375049363801E+06,  4.617097600438292E+06,
2457604.208333333, A.D. 2016-Aug-03 17:00:00.0000,  9.816028138136298E-01,  7.524103197239406E+04,  9.066098574242454E+01,  2.692479785722743E+02,  1.746792737786870E+02,  2.457628044571554E+06,  7.797095367821419E-05,  1.994226428612673E+02,  1.809490069395767E+02,  4.089811953315818E+06,  8.104382874659241E+06,  4.617103972919435E+06,
2457604.250000000, A.D. 2016-Aug-03 18:00:00.0000,  9.816028446311162E-01,  7.524093747969814E+04,  9.067174276244256E+01,  2.692471574562257E+02,  1.746792368070527E+02,  2.457628044501574E+06,  7.797090464382219E-05,  1.997039105316078E+02,  1.809628863575519E+02,  4.089813667984663E+06,  8.104386398489628E+06,  4.617106876526712E+06,
2457604.291666667, A.D. 2016-Aug-03 19:00:00.0000,  9.816028167914307E-01,  7.524104443618249E+04,  9.068232997294704E+01,  2.692463518683524E+02,  1.746792332612254E+02,  2.457628044518535E+06,  7.797091537344306E-05,  1.999844695115554E+02,  1.809767383440332E+02,  4.089813292783638E+06,  8.104385541131092E+06,  4.617106241164076E+06,
2457604.333333333, A.D. 2016-Aug-03 20:00:00.0000,  9.816027322338190E-01,  7.524134501985714E+04,  9.069247879519934E+01,  2.692455820983533E+02,  1.746792622805689E+02,  2.457628044619087E+06,  7.797098569706654E-05,  2.002643433477670E+02,  1.809905641207931E+02,  4.089810833659210E+06,  8.104380322298562E+06,  4.617102076901716E+06,
2457604.375000000, A.D. 2016-Aug-03 21:00:00.0000,  9.816025941933989E-01,  7.524182698750697E+04,  9.070193405053062E+01,  2.692448672271075E+02,  1.746793223239651E+02,  2.457628044798144E+06,  7.797111407805315E-05,  2.005435700973428E+02,  1.810043655881884E+02,  4.089806344354847E+06,  8.104370861722187E+06,  4.617094474751525E+06,
2457604.416666667, A.D. 2016-Aug-03 22:00:00.0000,  9.816024070872081E-01,  7.524247413041908E+04,  9.071045909300204E+01,  2.692442247526908E+02,  1.746794112109918E+02,  2.457628045049024E+06,  7.797129762935862E-05,  2.008222012839647E+02,  1.810181452760249E+02,  4.089799925842642E+06,  8.104357377554866E+06,  4.617083605704271E+06,
2457604.458333333, A.D. 2016-Aug-03 23:00:00.0000,  9.816021763737828E-01,  7.524326682075197E+04,  9.071784036711556E+01,  2.692436702658147E+02,  1.746795261732577E+02,  2.457628045363626E+06,  7.797153215716981E-05,  2.011003006248245E+02,  1.810319062840498E+02,  4.089791724795592E+06,  8.104340182770432E+06,  4.617069718141950E+06,
